owner,team_name,commit_sha,analysis_timestamp,repo,course_id,result_id,repo_url
microfaults,Microfaults,4c71d6c27ea3ee29d0226da28317787c2f020588,2026-06-11 21:05:11.189132+00,manteion-ui,CSE115C-Spring26,microfaults-manteion-ui-4c71d6c27ea3,https://github.com/microfaults/manteion-ui
apagadua,shoe_shopper,5c57708e54cf6010d7f1f8108b94d737229325d1,2026-06-11 01:15:57.408788+00,shoe_shopper,CSE115A-Spring26,apagadua-shoe_shopper-5c57708e54cf,https://github.com/apagadua/shoe_shopper
Alaurosa,Vision Studio,5333bd89081fbfd3ae7b92ff5fd0ce4faac570fb,2026-06-08 20:23:56.823793+00,vision-studio,CSE115A-Spring26,Alaurosa-vision-studio-5333bd89081f,https://github.com/Alaurosa/vision-studio
MasonD-007,Keysight AI Agent of Agents,16c717ceed471f81497979de3c6ac3525856f118,2026-06-07 03:32:23.519239+00,ks_MCPS,CSE115A-Spring26,MasonD-007-ks_MCPS-16c717ceed47,https://github.com/MasonD-007/ks_MCPS
s-achawro,CWTCG,23e056fabae8a6359e0565e61d0145dbe10bff59,2026-06-05 19:37:09.462803+00,CWTCG,CSE115A-Spring26,s-achawro-CWTCG-23e056fabae8,https://github.com/s-achawro/CWTCG
sbelambe,SlugSmart,4d30585a39212842b1bb692689ec1c3d0e507fff,2026-06-04 00:50:13.245355+00,UCSC-Financial-Purchase-Prediction,CSE115A-Spring26,sbelambe-UCSC-Financial-Purchase-Prediction-4d30585a3921,https://github.com/sbelambe/UCSC-Financial-Purchase-Prediction
royshadmon,EADS,a5a6be7467781da97106e9ff1036d844ba4e25f0,2026-06-02 19:52:21.441213+00,EADS,CSE115A-Spring26,royshadmon-EADS-a5a6be746778,https://github.com/royshadmon/EADS
MandoBug,interview pal,becb21a5bcb00e0602736b7f4be90c779bff3f4a,2026-05-29 20:12:00.069847+00,InterviewPal,CSE115A-Spring26,MandoBug-InterviewPal-becb21a5bcb0,https://github.com/MandoBug/InterviewPal
microfaults,,4bf04b8021f48c06609ed8b4c7ddb43fafa904ef,2026-06-12 18:40:37.90296+00,manteion-go,,microfaults-manteion-go-4bf04b8021f4,https://github.com/microfaults/manteion-go
PoolCloser,,eb8be19f179ebff8e1b5e09434b7ce2182bb59d5,2026-06-11 03:01:32.586738+00,HabiMatch,,PoolCloser-HabiMatch-eb8be19f179e,https://github.com/PoolCloser/HabiMatch
DAWLab-cse115,,018b0f63cddfce70d6e9333e5b7e7c5b2fae7a92,2026-06-09 23:56:25.217237+00,DAWLab-FrontEnd,,DAWLab-cse115-DAWLab-FrontEnd-018b0f63cddf,https://github.com/DAWLab-cse115/DAWLab-FrontEnd
Brinqa-CRQ-2026,,0d8922d004a21649151fe9c0abefb446076a3722,2026-06-09 07:45:36.312915+00,VulnContext-Desktop,,Brinqa-CRQ-2026-VulnContext-Desktop-0d8922d004a2,https://github.com/Brinqa-CRQ-2026/VulnContext-Desktop
Colin-Posat,,c8556ef8e1d1e661c57f1deebc6e20706a323740,2026-06-09 01:04:30.787363+00,SlugFound,,Colin-Posat-SlugFound-c8556ef8e1d1,https://github.com/Colin-Posat/SlugFound
Aicnev04,,c17a5b9a1526b0120266382c846703468a40d0fa,2026-06-08 23:40:41.943562+00,PriceYourPlaylist,,Aicnev04-PriceYourPlaylist-c17a5b9a1526,https://github.com/Aicnev04/PriceYourPlaylist
nisergdesai,,e30f8162a2a86f6ef90ce8455d8d81e4636ef675,2026-06-08 23:14:31.415123+00,Planly_Organizer,,nisergdesai-Planly_Organizer-e30f8162a2a8,https://github.com/nisergdesai/Planly_Organizer
MikeyZv,,966d4fc8a424a58a342186a248bf297d4af5a0f2,2026-06-08 21:22:30.088329+00,SlugMarket,,MikeyZv-SlugMarket-966d4fc8a424,https://github.com/MikeyZv/SlugMarket
