repo,source_loc,files,wall_clock_s,jscpd_s,analysis_excl_dup_s,jscpd_status,duplication_pct
alexandria,10119,114,2.19,0.73,1.46,completed,1.8
wayfinder,31257,126,2.56,0.71,1.85,completed,3.1
SlugSync,8194,61,1.42,0.53,0.89,completed,1.1
Lens,4980,56,0.9,0.3,0.6,completed,0.3
VeriFi,5129,56,1.04,0.33,0.71,completed,0.8
CsLife,2792,11,0.76,0.39,0.37,completed,1.3
ts-repo-metrics (self),43087,362,64.24,60.0,4.24,TIMEOUT_KILLED_60s,
