repo,files,totalLOC,sourceLOC,testLOC,functions,avgFunctionLength,medianFunctionLength,maxNesting,avgComplexity,maxComplexity,longFunctions,deepNesting,emptyCatches,consoleLogs,duplicationPct,framework,totalCommits
alexandria,114,15962,10119,5843,929,11.8,7,7,1.8,31,22,1,22,39,1.8,,474
wayfinder,126,33200,31257,1943,1246,18.3,7,10,2.8,76,70,5,56,38,3.1,,104
SlugSync,61,9252,8194,1058,772,15.5,5,5,2.2,44,39,2,0,11,1.1,React,99
Lens,56,5353,4980,373,177,18.3,5,4,2.5,42,15,0,3,309,0.3,,274
VeriFi,56,5669,5129,540,280,15.4,9,4,2.5,25,14,0,13,26,0.8,,80
CsLife,11,2792,2792,0,69,13.7,10,3,2,9,1,0,0,11,1.3,,140
