repo,status,reason,files,totalLOC,sourceLOC,testLOC,functions,avgFunctionLength,medianFunctionLength,maxNesting,avgComplexity,maxComplexity,longFunctions,deepNesting,emptyCatches,consoleLogs,duplicationPct,framework,totalCommits
CsLife,analyzed,,11,2792,2792,0,69,13.7,10,3,2,9,1,0,0,11,1.3,,140
Lens,analyzed,,56,5353,4980,373,177,18.3,5,4,2.5,42,15,0,3,309,0.3,,274
SlugSync,analyzed,,61,9252,8194,1058,772,15.5,5,5,2.2,44,39,2,0,11,1.1,React,99
StudyPet-Plus,analyzed,,260,40724,38852,1872,1982,22.2,7,5,2.6,50,172,6,0,53,6.1,Next,209
VeriFi,analyzed,,56,5669,5129,540,280,15.4,9,4,2.5,25,14,0,13,26,0.8,,80
Wayfinder,analyzed,,126,33200,31257,1943,1246,18.3,7,10,2.8,76,70,5,56,38,3.1,,104
alexandria,analyzed,,116,16820,10776,6044,958,12.1,7,7,1.8,31,24,1,23,47,1.8,,474
